team,seasons,ov_wl,win_perc,m_wl,th_wl,points
Jordan,8,129-81,0.614,63-42,66-39,12290.94
Cade,8,125-85,0.595,59-46,66-39,11849.22
Chase,8,115-95,0.548,54-51,61-44,11706.3
Landry,8,109-101,0.519,55-49,53-51,11648.02
Rendle,8,105-104,0.502,53-52,52-52,11385.1
Caden,8,105-105,0.5,56-49,49-56,11224.1
Luke,8,102-107,0.488,52-53,50-54,11161.9
Tripp,8,91-119,0.433,46-59,45-60,11213.38
Quinn,8,87-123,0.414,44-61,43-62,10997.62
Leighton,7,74-110,0.402,38-53,35-56,9662.92
Peyton,1,7-19,0.269,4-9,3-10,1226.6
